NUM_THREADS=16
BATCH_SIZE=32768
num_threads_sort=16
num_threads_io=4
memory_size=16 GB
FILESIZE=64 GB
FILENAME=data-64GB.bin
bytes_free=230743769088
ratio=4
memory_size_byte=17179869184
FILESIZE_byte=68719476736
-------------------------
found good configuration:
memory_size_byte=17179869184
FILESIZE_byte=68719476736
WRITE_SIZE=134217728
FLUSH_SIZE=4
BUCKET_SIZE=33554432
NUM_BUCKETS=128
PREFIX_SIZE=7
EXPECTED_TOTAL_FLUSHES=512
sort_memory=8589934592
NUM_ENTRIES=4294967296
Total Memory: 23462842368 bytes
Free Memory: 22641659904 bytes
MEMORY_MAX=17179869184
RECORD_SIZE=16
HASH_SIZE=10
NONCE_SIZE=6
num_threads_hash=16
num_threads_sort=16
num_threads_io=4
storing vault configuration in data-64GB.bin.config
hash generation and sorting...
initializing circular array...
Create thread data structure...
Create hash generation threads...
Hash generation threads created...
[54][HASHGEN]: 18.81% completed, ETA 233.4 seconds, 0/512 flushes, 231.6 MB/sec
[55][HASHGEN]: 19.17% completed, ETA 232.1 seconds, 0/512 flushes, 237.2 MB/sec
[56][HASHGEN]: 19.53% completed, ETA 231.0 seconds, 0/512 flushes, 236.1 MB/sec
[57][HASHGEN]: 19.90% completed, ETA 229.7 seconds, 0/512 flushes, 240.4 MB/sec
[58][HASHGEN]: 20.27% completed, ETA 228.4 seconds, 0/512 flushes, 240.1 MB/sec
[59][HASHGEN]: 20.63% completed, ETA 227.2 seconds, 0/512 flushes, 239.3 MB/sec
[60][HASHGEN]: 21.00% completed, ETA 226.0 seconds, 0/512 flushes, 241.1 MB/sec
[61][HASHGEN]: 21.37% completed, ETA 224.7 seconds, 0/512 flushes, 241.3 MB/sec
[62][HASHGEN]: 21.74% completed, ETA 223.5 seconds, 0/512 flushes, 240.3 MB/sec
[63][HASHGEN]: 22.10% completed, ETA 222.3 seconds, 0/512 flushes, 238.1 MB/sec
[64][HASHGEN]: 22.47% completed, ETA 221.0 seconds, 0/512 flushes, 244.2 MB/sec
[65][HASHGEN]: 22.84% completed, ETA 219.8 seconds, 0/512 flushes, 240.7 MB/sec
[66][HASHGEN]: 23.21% completed, ETA 218.6 seconds, 0/512 flushes, 239.8 MB/sec
[67][HASHGEN]: 23.57% completed, ETA 217.5 seconds, 0/512 flushes, 239.5 MB/sec
[68][HASHGEN]: 23.94% completed, ETA 216.3 seconds, 0/512 flushes, 239.9 MB/sec
[69][HASHGEN]: 24.31% completed, ETA 215.1 seconds, 0/512 flushes, 240.0 MB/sec
[70][HASHGEN]: 24.67% completed, ETA 214.0 seconds, 0/512 flushes, 238.5 MB/sec
[71][HASHGEN]: 24.98% completed, ETA 214.1 seconds, 5/512 flushes, 166.6 MB/sec
[72][HASHGEN]: 24.99% completed, ETA 217.6 seconds, 18/512 flushes, 3.8 MB/sec
